UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
kasun     1349   890  1349  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
kasun     1349   890  1356  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
kasun     1349   890  1358  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
kasun     1352  1067  1352  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 5 25165870 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kasun     1352  1067  1375  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 5 25165870 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kasun     1352  1067  1379  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 5 25165870 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kasun     1353  1067  1353  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libindicator-plugin.so 6 25165871 indicator Indicator Plugin Provides a panel area for Unity indicators. Indicators allow applications and system services to display their status and interact with the user.
kasun     1353  1067  1378  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libindicator-plugin.so 6 25165871 indicator Indicator Plugin Provides a panel area for Unity indicators. Indicators allow applications and system services to display their status and interact with the user.
kasun     1353  1067  1382  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libindicator-plugin.so 6 25165871 indicator Indicator Plugin Provides a panel area for Unity indicators. Indicators allow applications and system services to display their status and interact with the user.
kasun     1354  1067  1354  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libstatusnotifier.so 7 25165872 statusnotifier Status Notifier Plugin Provides a panel area for status notifier items (application indicators)
kasun     1354  1067  1377  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libstatusnotifier.so 7 25165872 statusnotifier Status Notifier Plugin Provides a panel area for status notifier items (application indicators)
kasun     1354  1067  1380  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libstatusnotifier.so 7 25165872 statusnotifier Status Notifier Plugin Provides a panel area for status notifier items (application indicators)
kasun     1355  1067  1355  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 8 25165873 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kasun     1355  1067  1376  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 8 25165873 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kasun     1355  1067  1381  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 8 25165873 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kasun     1359  1067  1359  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 9 25165874 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kasun     1359  1067  1384  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 9 25165874 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kasun     1359  1067  1385  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 9 25165874 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kasun     1360   890  1360  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
kasun     1360   890  1361  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
kasun     1360   890  1363  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
kasun     1364   890  1364  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
kasun     1364   890  1365  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
kasun     1364   890  1366  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
kasun     1368   890  1368  0    4 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kasun     1368   890  1369  0    4 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kasun     1368   890  1370  0    4 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kasun     1368   890  1372  0    4 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kasun     1386  1149  1386  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
kasun     1386  1149  1387  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
kasun     1386  1149  1388  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
kasun     1392   890  1392  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
kasun     1392   890  1394  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
kasun     1392   890  1395  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
kasun     1405   890  1405  0    4 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
